amount,date,reference_id,vendor
86791.36,2026-07-19,,Pixel Studio
15870.81,2026-07-12,TXN100023,Nimbus SaaS
69402.48,2026-07-06,TXN100026,Sundar Foods
70901.46,2026-07-18,TXN100035,Orbit Freight
77614.2,2026-07-25,TXN100058,Tanvi Exports
40144.62,2026-07-15,TXN100007,Vertex Cloud
46673.24,2026-07-04,TXN100054,Pixel Studio
75351.5,2026-07-14,TXN100040,Vertex Cloud
84102.56,2026-07-21,TXN100033,Sundar Foods
50365.17,2026-07-20,TXN100061,Rane Motors
11041.68,2026-07-14,TXN100046,Kavya Textiles
71092.81,2026-07-14,TXN100036,Vertex Cloud
89986.72,2026-07-03,TXN100057,Sundar Foods
72207.3,2026-07-06,TXN100009,Rane Motors
71872.56,2026-07-23,TXN100063,Nimbus SaaS
14001.37,2026-07-05,TXN100034,Nimbus SaaS
7946.62,2026-07-10,TXN100016,Vertex Cloud
7453.44,2026-07-15,TDS262188,Acme Traders TDS
89977.2,2026-07-06,TXN100060,Orbit Freight
90956.64,2026-07-11,TXN100011,BlueOne Logistics
80588.22,2026-07-20,TXN100013,Orbit Freight
87297.64,2026-07-20,TXN100053,Pixel Studio
21253.63,2026-07-11,TXN100028,Acme Traders
6503.37,2026-07-13,TXN100041,Vertex Cloud
36358.54,2026-07-30,TXN100027,Tanvi Exports
18671.27,2026-07-03,TXN100018,Acme Traders
48256.07,2026-07-01,TXN100005,Tanvi Exports
26789.02,2026-07-28,TXN100008,Acme Traders
13559.66,2026-07-08,GST256147,GST Payment
60925.83,2026-07-01,TXN100000,Orbit Freight
48475.92,2026-07-04,TXN100049,Orbit Freight
48650.23,2026-07-03,TXN100038,Acme Traders
81874.22,2026-07-05,,Kavya Textiles
20593.21,2026-07-16,TXN100032,Rane Motors
71457.95,2026-07-25,TXN100045,Pixel Studio
38243.35,2026-07-08,,Kavya Textiles
3315.84,2026-07-07,TXN100004,Nimbus SaaS
23128.24,2026-07-08,TXN100056,Vertex Cloud
82382.71,2026-07-13,TXN100021,Orbit Freight
58062.88,2026-07-06,TXN100025,Tanvi Exports
72871.35,2026-07-05,TXN100059,Sundar Foods
23642.28,2026-07-05,TXN100001,BlueOne Logistics
92266.91,2026-07-28,TXN100043,Acme Traders
92343.43,2026-07-25,TXN100048,Kavya Textiles
62989.38,2026-07-25,TXN100019,Orbit Freight
6669.21,2026-07-07,GST255272,GST Payment
22145.04,2026-07-02,TXN100029,Pixel Studio
9264.48,2026-07-04,TXN100012,Pixel Studio
76773.62,2026-07-24,TXN100014,Sundar Foods
5082.93,2026-07-18,TDS272638,BlueOne Logistics TDS
64448.1,2026-07-29,TXN100002,Tanvi Exports
63831.55,2026-07-23,TXN100024,BlueOne Logistics
19290.16,2026-07-21,TXN100006,Tanvi Exports
64786.78,2026-07-04,TXN100044,Tanvi Exports
80037.75,2026-07-17,TXN100050,Vertex Cloud
32653.67,2026-07-05,TXN100010,Nimbus SaaS
84175.19,2026-07-12,TXN100017,Vertex Cloud
51173.55,2026-07-30,TXN100015,Rane Motors
91632.29,2026-07-30,TXN100062,Tanvi Exports
43376.89,2026-07-31,TXN100047,Orbit Freight
83539.22,2026-07-27,TXN100055,Orbit Freight
67873.68,2026-07-13,TXN100064,Pixel Studio
19297.1,2026-07-12,TXN100051,Kavya Textiles
5679.48,2026-07-22,GST253144,GST Payment
94633.47,2026-07-17,,Orbit Freight
13087.27,2026-07-11,GST258491,GST Payment
8715.72,2026-07-14,TXN100003,Acme Traders
51471.32,2026-07-25,,Tanvi Exports
43347.27,2026-07-27,TXN100022,Pixel Studio
93603.43,2026-07-28,TXN100020,Nimbus SaaS
38410.07,2026-07-03,TXN100030,Nimbus SaaS
